"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2022","4,530","4,500","4,550","4,480","159.56M","0.89%"
"10/04/2022","4,640","4,560","4,650","4,560","256.37M","2.43%"
"10/05/2022","4,540","4,660","4,660","4,540","182.25M","-2.16%"
"10/06/2022","4,510","4,540","4,570","4,510","123.35M","-0.66%"
"10/07/2022","4,440","4,480","4,490","4,430","133.68M","-1.55%"
"10/10/2022","4,370","4,420","4,430","4,340","193.92M","-1.58%"
"10/11/2022","4,430","4,390","4,430","4,370","133.74M","1.37%"
"10/12/2022","4,400","4,470","4,470","4,400","128.75M","-0.68%"
"10/13/2022","4,350","4,390","4,420","4,350","104.27M","-1.14%"
"10/14/2022","4,270","4,380","4,390","4,270","182.10M","-1.84%"
"10/17/2022","4,300","4,270","4,320","4,260","145.51M","0.70%"
"10/18/2022","4,290","4,280","4,340","4,280","161.44M","-0.23%"
"10/19/2022","4,300","4,280","4,340","4,280","81.68M","0.23%"
"10/20/2022","4,390","4,280","4,400","4,280","149.52M","2.09%"
"10/21/2022","4,430","4,360","4,460","4,360","165.05M","0.91%"
"10/24/2022","4,500","4,430","4,540","4,430","187.00M","1.58%"
"10/25/2022","4,590","4,560","4,610","4,550","237.86M","2.00%"
"10/26/2022","4,530","4,600","4,610","4,500","164.99M","-1.31%"
"10/27/2022","4,600","4,550","4,600","4,530","131.41M","1.55%"
"10/28/2022","4,630","4,600","4,630","4,560","189.54M","0.65%"
"10/31/2022","4,650","4,630","4,680","4,630","227.97M","0.43%"
"11/01/2022","4,660","4,690","4,700","4,630","214.44M","0.22%"
"11/02/2022","4,610","4,680","4,680","4,570","145.30M","-1.07%"
"11/03/2022","4,650","4,630","4,660","4,590","147.39M","0.87%"
"11/04/2022","4,650","4,650","4,660","4,610","73.01M","0.00%"
"11/07/2022","4,690","4,650","4,690","4,610","84.93M","0.86%"
"11/08/2022","4,620","4,690","4,690","4,610","81.05M","-1.49%"
"11/09/2022","4,650","4,600","4,650","4,600","94.72M","0.65%"
"11/10/2022","4,530","4,560","4,580","4,520","173.83M","-2.58%"
"11/11/2022","4,650","4,620","4,650","4,590","153.24M","2.65%"
"11/14/2022","4,580","4,620","4,640","4,550","156.89M","-1.51%"
"11/15/2022","4,580","4,580","4,610","4,560","71.99M","0.00%"
"11/16/2022","4,520","4,590","4,610","4,490","249.90M","-1.31%"
"11/17/2022","4,670","4,520","4,670","4,500","217.13M","3.32%"
"11/18/2022","4,610","4,670","4,680","4,610","105.35M","-1.28%"
"11/21/2022","4,590","4,620","4,630","4,560","96.34M","-0.43%"
"11/22/2022","4,590","4,570","4,670","4,570","154.87M","0.00%"
"11/23/2022","4,670","4,640","4,670","4,630","148.64M","1.74%"
"11/24/2022","4,720","4,700","4,740","4,670","168.90M","1.07%"
"11/25/2022","4,750","4,700","4,750","4,690","152.04M","0.64%"
"11/28/2022","4,820","4,730","4,830","4,730","195.21M","1.47%"
"11/29/2022","4,850","4,820","4,860","4,790","166.06M","0.62%"
"11/30/2022","4,980","4,810","4,980","4,800","395.47M","2.68%"
"12/01/2022","4,940","5,000","5,025","4,900","240.17M","-0.80%"
"12/02/2022","4,890","4,900","4,930","4,860","200.04M","-1.01%"
"12/05/2022","4,890","4,910","4,930","4,860","106.81M","0.00%"
"12/06/2022","4,860","4,860","4,890","4,800","151.35M","-0.61%"
"12/07/2022","4,760","4,840","4,840","4,740","219.53M","-2.06%"
"12/08/2022","4,840","4,760","4,840","4,710","137.59M","1.68%"
"12/09/2022","4,800","4,830","4,840","4,760","180.38M","-0.83%"
"12/12/2022","4,850","4,800","4,850","4,760","113.79M","1.04%"
"12/13/2022","4,970","4,870","4,980","4,840","158.08M","2.47%"
"12/14/2022","4,980","5,000","5,000","4,870","201.34M","0.20%"
"12/15/2022","4,910","4,900","4,940","4,880","143.09M","-1.41%"
"12/16/2022","4,980","4,820","4,980","4,820","350.11M","1.43%"
"12/19/2022","4,970","4,970","4,980","4,920","64.76M","-0.20%"
"12/20/2022","4,910","4,930","4,970","4,890","79.07M","-1.21%"
"12/21/2022","4,890","4,910","4,940","4,870","71.60M","-0.41%"
"12/22/2022","4,960","4,910","4,970","4,900","72.73M","1.43%"
"12/23/2022","4,880","4,920","4,940","4,880","53.35M","-1.61%"
"12/26/2022","4,930","4,900","4,930","4,890","43.59M","1.02%"
"12/27/2022","4,870","4,930","4,950","4,860","81.82M","-1.22%"
"12/28/2022","4,820","4,870","4,880","4,810","134.32M","-1.03%"
"12/29/2022","4,870","4,820","4,870","4,800","106.69M","1.04%"
"12/30/2022","4,940","4,870","4,950","4,870","182.09M","1.44%"